,Calories,Fat,Carbohydrates,Protein
Produce,45.34909604519773,0.7766101694915252,9.53646892655368,1.1434403409090912
Dairy & Eggs,104.92161820480405,5.881795195954488,8.018208556149732,5.548177083333333
Meat,137.2244318181818,7.3991477272727275,3.0022028985507245,14.304988636363635
Prepared Foods,320.5037037037037,12.962962962962964,38.72592592592593,13.037037037037036
Pantry Essentials,108.5221518987342,3.7565100210970472,15.93633333333333,3.571906451612904
"Breads, Rolls, & Bakery",172.1898148148148,5.830162037037037,26.574074074074073,4.075798122065728
Supplements,52.597682119205295,2.626467391304348,5.552083333333333,8.671089385474861
Frozen Foods,183.7414383561644,8.21404109589041,22.90719178082192,5.4825
"Snacks, Chips, Salsas, & Dips",133.0204109589041,6.918972602739725,15.210667584308327,3.690161630358398
Seafood,115.10526315789474,4.806315789473684,2.1493478260869567,15.484042105263159
Beverages,61.81267217630854,1.0071079812206578,12.113465160075329,1.6117343453510433
"Wine, Beer, & Spirits",116.09796672828097,0.0,3.0268022181146024,0.06284658040665435
