,Protein,Carbohydrates,Fat
"Turkey Bacon Avocado Sandwich, 1 ea",51.0,,
"Bison Sirloin Steaks, 12 oz",40.0,,
"Turkey and Cheese Snack Break, 9 oz",38.0,,
"Spicy Red Pepper Salmon, 12 oz",38.0,,
"Garlic Salmon, Sweet Potato & Brussels, 12 oz",34.0,,
"Salmon Teriyaki Bowl, 14 oz",33.0,,
"Chicken Pad Thai, 12 oz",33.0,,
"Sunomono Sushi, 4 oz",33.0,,
"Odwalla Chocolate Protein Beverage, 15.2 fl oz",32.0,,
"Vanilla Protein Beverage, 15.2 fl oz",32.0,,
"Tiramisu Cake Slice, 12 oz",,116.0,
"Falafel Patty Sumac Salad, 2 lb",,108.0,
"Muffuletta Olive Salad, 1 lb",,108.0,
"Orange Chicken, 14 oz",,106.0,
"Carrot Cake 3 Inch, 6 oz",,101.0,
"Creamy Butternut Mac, 14 oz",,98.0,
"Vege Shirataki Noodles Soup, 22 oz",,98.0,
"Banana Cream Tart, 5 oz",,86.0,
"Chicken Tinga Enchiladas, 13.5 oz",,85.0,
"Teriyaki Noodle Bowl, 7.8 oz",,85.0,
"German Chocolate Cake 3 Inch, 5 oz",,,70.0
"Turkey Bacon Avocado Sandwich, 1 ea",,,48.0
"Banana Cream Tart, 5 oz",,,48.0
"Belgian Chocolate Mousse Cake, 5 oz",,,43.0
"Green Goddess Crunch Salad Kit Green Goddess Crunch, 5.2 oz",,,42.0
"Shrimp Thai Basil Noodle, 22 oz",,,42.0
"Miso Soup, 22 oz",,,42.0
"Griffen Cheesecake Slice, 5 oz",,,42.0
"Carrot Cake 3 Inch, 6 oz",,,41.0
"Tiramisu Cake Slice, 12 oz",,,40.0
